Comment,gender_of_sport,sexism,racism,violence,appearance,ability,has_hate,hate_type_count,primary_hate_type,Video Popularity,Comment Popularity,club,club_region,language,channel_structure,commenter_gender
WE MADE IT...,Unknown,False,False,False,False,False,False,0,Non-offensive,1,1,Unknown,Unknown,unknown,Unknown,Female
E -,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Awesome simply AWESOME Forza Buffon 😊,Unknown,False,False,False,False,False,False,0,Non-offensive,1,1,Unknown,Unknown,unknown,Unknown,Female
😮‍💨,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Mood instantly lifted. Thank you for this,Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Women team crosses better than their male counterparts 😂😂😂,Unknown,True,False,False,False,True,True,2,Sexism,2,0,Unknown,Unknown,unknown,Unknown,Female
Invece di ballare guocate capre,Unknown,True,False,False,True,True,True,3,Sexism,2,1,Unknown,Unknown,unknown,Unknown,Female
Love it! Working hard for the new manager! 💙,Unknown,False,False,False,False,False,False,0,Non-offensive,1,1,Unknown,Unknown,unknown,Unknown,Female
Steht ihm,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Nkunku is back and ready 👍👌✅,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
"È vero una partita l""abbiamo vinta ma con questo non posso dire che ormai i guai sono finiti , perché qualche sbavatura l'ho vista .quando vedto che tutto questo è finito ,allora potro dire la JUVENTUS e""tornata .",Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Somos águilas,Unknown,False,False,False,False,False,False,0,Non-offensive,2,0,Unknown,Unknown,unknown,Unknown,Female
Top guy,Unknown,False,False,False,False,False,False,0,Non-offensive,0,0,Unknown,Unknown,unknown,Unknown,Female
Merci et bon voyage Bernard Lacombe,Unknown,False,False,False,False,False,False,0,Non-offensive,1,0,Unknown,Unknown,unknown,Unknown,Female
🇺🇲👑 Club America 👑🇺🇲,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Koen 😢,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
"Pareil, perf debut pas terrible, a fait l'inverse de MBAPPE, est monté en régime. Pourvu que ça dure et l'accession en ligue 1 enfin!",Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Roooooad to ligue 1!!!! Et faisons le nécessaire pour améliorer Charlety et y rester! c'est notre stade!!!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Velkommen til ulveflokken 🐺✨ Mads 💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Vamos!!!!!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Pokal Helden 💚,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Stabiler Typ 💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Wir müssen es auch mal schaffen gegen die „schlechteren“ Gegner zu gewinnen💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Es war das erwartete Krampfspiel mit dem Glück 🍀 auf unserer Seite. Da dürfen wir ehrlich sein. Aber auch Glück muss erstmal erkämpft werden. Und das habt ihr heute 💚🤍🐺🔥,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Bin mal gespannt auf ihn 🐺,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Arnold🤡,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
"3:00 ""Mudder"" ähhh Mutter😂😂",Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
ARSENAL 👍🏆,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Danke,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Geiles Format 💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Nur die SGE🦅,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
fantastic 💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Der beste der jemals hier war.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Sehr geil!💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍🕊️,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
"Leipzig war eine geile, 90 minütige Party und mit dem Torhunger geht's morgen hoffentlich weiter⚽",Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
🇪🇺🇩🇪☝🏻🇹🇷🐺🫡,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Grabara = Goat 🐐🏆💚🤍,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
🐺🐺,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
behrens kann sich verpissen,Unknown,False,False,True,False,False,True,1,Violence,0,1,Unknown,Unknown,unknown,Unknown,Female
Onana avait donc... raison. Certains supporters lyonnais apprendront a ne plus insulter les mamans des autres,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Amazing.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Big save.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Allez malherbe ❤️💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
my fav club❤❤❤❤❤❤😊,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Delapinho❤,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Love u madders ❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💙🔵💙,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Lampard doesn't make mistakes like that in important big games.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
🤩💚💚💚💚,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Pedro Pedro Pedro Pedrooooo,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Jet 😊,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Let's go boys,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Love it❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Is Nkunku injured?,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
4:20 siuuuuuuuuuuu 🗣🗣,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
"Kyra looks like Elizabeth Tan, artist from my country..",Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Nikolasss Jacksonnn🔥,Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Welcome Guiu🎉,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
最高やな,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
J adore ce mec et j adore ce concept,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Get a damn forward,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
"Quel magnifique gardien, il va nous manquer",Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Lets goo Boys 💯⚽️,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Kaneryd Linda joga muito 😘💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Viktor Gyokeres for Arsenal,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Mikel never change and never leave Arsenal :D,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
I ❤ gooning,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
ART,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
I love Saka goal,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Let's go BLUES 💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Palmer nkunku and Neto 🔥,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
캬 !! 역시 독일 인종차별 클라스 보소 !!,Unknown,False,True,False,False,False,True,1,Racism,1,2,Unknown,Unknown,unknown,Unknown,Female
Laisse tomber le massacre,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Sam kerr,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Everyone apologize to jackson,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Chelsea tetap di hatiku 💙😘🥰,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Timber vs all PSG attackers ☠️💀,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
"Allez les gars, c'est rien c'était juste un faux pas. On croit en vous pour renouer avec la victoire la semaine prochaine face à Grenoble 💪💪🔵⚪",Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Will Havertz be available against VARdrid?,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
💙💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
En avant le Paris fc ❤❤❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
INVINCIBLE 💪 💪 💪,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
"Кто такой вообще Мареска??? Чего он добился,чего выиграл?  Лестер и без него должен был выходить обратно в премьеру. Очередной Грэм Поттер?",Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
super  kai,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
ทั้งทีม หญิง ชาย เลย,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Amapiano ww💯💯,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Well done ladies.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Noni ❤❤❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
"Deserved get number 10 shirt, after ESR",Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
GO ON YOU GUNNERS.🔥.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
0 défaite sur les 4 matchs contre l’OL et le PSG c’est vrm fort ! Dommage d’avoir perdu des points contre les petits car on aurait pu finir la saison invaincu,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Fabianski ❤❤❤❤❤❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Tosin smile kill me 😂😂😂,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Pls Pin❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Maduake out 😢,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
💙💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Bravo à vous j’espère voir un beau derby parisien 😮,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Important away win 🖤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Allez paris 🔵,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Much love,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
تحيا باريس ❤️❤️,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
切爾西青訓，在我心目中，是歐洲前5,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
When will we get Mayra Ramirez podcast. 🥺,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
STRENGTH X PACE X POWER X INTELLIGENCE..BIG GABI BULLYING MAN ❤❤ TO SEE IT,Unknown,False,False,False,False,False,False,0,Non-offensive,2,2,Unknown,Unknown,unknown,Unknown,Female
Lucky save,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Much love💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Maldini looks exciting.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Bravo !!! On l'a fait !!!!,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Arteta OUT!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
From kenyaaaaaa❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Delap and his bedroom voice😂,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Go kitty!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
We love you Chloe ❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Bergstom!!!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Aller paris fc monter en ligue 1 pour le classico parisien en ligue 1,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
blah blah blah,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Even G Jesus looked worried at kiwor 4:19,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Welcome Mike maignan 😁,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Blues 💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
ボルチモア（Sandy Baltimore）って攻守そろったいい選手だよな。,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Rice❤️,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Why is he getting better,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
We love you Big Gabi 🤍❤️🇧🇷,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Allez PaparisFc... faites nous baver 🍺🤤🔪,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Kid or KYD  ????,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Allez les gars faites nous rêver ❤️❤️,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
💙💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
What type of press conference is this? Its like a rehearsed show,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
We go win tomorrow,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
On va le faire et on va aller en 16ème ! Allez LE PARIS FC 🔵🔥,Unknown,False,False,False,False,False,False,0,Non-offensive,0,1,Unknown,Unknown,unknown,Unknown,Female
Great ep!,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Kenya🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Nice kit but would be better to see gyokeres or zubimendi in jt,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
KDH MY GUY😎,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Wow ❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Olise and Vale 😎,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Welcome to the Family 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
ارسنال ❤❤❤❤سأبقى مشجعاً لك.,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
❤❤❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
Djordje Petroviccs jobb kaus,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
공홈에서 이런 도발을ㅋㅋㅋㅋㅋㅋ,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
No.9 to No.8,Unknown,False,False,False,False,False,False,0,Non-offensive,1,2,Unknown,Unknown,unknown,Unknown,Female
Arsenal ❤,Unknown,False,False,False,False,False,False,0,Non-offensive,0,2,Unknown,Unknown,unknown,Unknown,Female
