Comment,Video Popularity,Comment Popularity,gender_of_sport,club_region,language,sexism,racism,violence,appearance,ability,non_offensive,has_hate,hate_type_count
"Pareil, perf debut pas terrible, a fait l'inverse de MBAPPE, est monté en régime. Pourvu que ça dure et l'accession en ligue 1 enfin!",0,2,Female,France,fr,False,False,False,False,False,True,False,0
Roooooad to ligue 1!!!! Et faisons le nécessaire pour améliorer Charlety et y rester! c'est notre stade!!!,0,2,Male,France,fr,False,False,False,False,False,True,False,0
Velkommen til ulveflokken 🐺✨ Mads 💚🤍,0,2,Male,Germany,no,False,False,False,False,False,True,False,0
💚🤍,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Vamos!!!!!,0,2,Male,England,lt,False,False,False,False,False,True,False,0
Pokal Helden 💚,1,2,Male,Germany,nl,False,False,False,False,False,True,False,0
Stabiler Typ 💚🤍,0,1,Male,Germany,tr,False,False,False,False,False,True,False,0
Wir müssen es auch mal schaffen gegen die „schlechteren“ Gegner zu gewinnen💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Es war das erwartete Krampfspiel mit dem Glück 🍀 auf unserer Seite. Da dürfen wir ehrlich sein. Aber auch Glück muss erstmal erkämpft werden. Und das habt ihr heute 💚🤍🐺🔥,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Bin mal gespannt auf ihn 🐺,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Arnold🤡,1,2,Male,Germany,cy,False,False,False,False,False,True,False,0
"3:00 ""Mudder"" ähhh Mutter😂😂",1,2,Male,Germany,sv,False,False,False,False,False,True,False,0
ARSENAL 👍🏆,0,2,Male,England,ca,False,False,False,False,False,True,False,0
Danke,0,2,Male,Germany,da,False,False,False,False,False,True,False,0
💚🤍,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Geiles Format 💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Nur die SGE🦅,1,2,Male,Germany,af,False,False,False,False,False,True,False,0
fantastic 💙,0,2,Male,England,ca,False,False,False,False,False,True,False,0
💚🤍,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Der beste der jemals hier war.,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
Sehr geil!💚🤍,0,2,Male,Germany,de,False,False,False,False,False,True,False,0
💚🤍🕊️,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
"Leipzig war eine geile, 90 minütige Party und mit dem Torhunger geht's morgen hoffentlich weiter⚽",0,2,Male,Germany,de,False,False,False,False,False,True,False,0
💚🤍,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
🇪🇺🇩🇪☝🏻🇹🇷🐺🫡,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Grabara = Goat 🐐🏆💚🤍,1,2,Male,Germany,id,False,False,False,False,False,True,False,0
🐺🐺,0,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
behrens kann sich verpissen,0,1,Male,Germany,de,False,False,True,False,False,False,True,1
Onana avait donc... raison. Certains supporters lyonnais apprendront a ne plus insulter les mamans des autres,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Amazing.,0,2,Male,England,sw,False,False,False,False,False,True,False,0
Big save.,0,2,Male,England,da,False,False,False,False,False,True,False,0
Allez malherbe ❤️💙,0,1,Male,France,hu,False,False,False,False,False,True,False,0
my fav club❤❤❤❤❤❤😊,0,2,Male,England,sv,False,False,False,False,False,True,False,0
Delapinho❤,1,2,Male,England,pt,False,False,False,False,False,True,False,0
Love u madders ❤,0,2,Male,England,nl,False,False,False,False,False,True,False,0
💙🔵💙,1,2,Male,England,unknown,False,False,False,False,False,True,False,0
Lampard doesn't make mistakes like that in important big games.,0,2,Male,England,af,False,False,False,False,False,True,False,0
🤩💚💚💚💚,1,2,Male,Germany,unknown,False,False,False,False,False,True,False,0
Pedro Pedro Pedro Pedrooooo,1,2,Male,England,cy,False,False,False,False,False,True,False,0
Jet 😊,1,2,Male,England,da,False,False,False,False,False,True,False,0
Let's go boys,1,2,Male,England,cy,False,False,False,False,False,True,False,0
Love it❤,0,2,Male,England,sl,False,False,False,False,False,True,False,0
Is Nkunku injured?,0,1,Male,England,hr,False,False,False,False,False,True,False,0
4:20 siuuuuuuuuuuu 🗣🗣,1,2,Male,England,so,False,False,False,False,False,True,False,0
"Kyra looks like Elizabeth Tan, artist from my country..",0,2,Male,England,en,False,False,False,False,False,True,False,0
Nikolasss Jacksonnn🔥,2,2,Male,England,fi,False,False,False,False,False,True,False,0
Welcome Guiu🎉,1,2,Male,England,ro,False,False,False,False,False,True,False,0
最高やな,1,2,Male,England,ja,False,False,False,False,False,True,False,0
J adore ce mec et j adore ce concept,0,2,Male,France,pt,False,False,False,False,False,True,False,0
Get a damn forward,0,2,Male,England,cy,False,False,False,False,False,True,False,0
"Quel magnifique gardien, il va nous manquer",2,2,Male,France,fr,False,False,False,False,False,True,False,0
Lets goo Boys 💯⚽️,0,2,Male,Germany,nl,False,False,False,False,False,True,False,0
Kaneryd Linda joga muito 😘💙,0,2,Male,England,lt,False,False,False,False,False,True,False,0
Viktor Gyokeres for Arsenal,0,2,Male,England,no,False,False,False,False,False,True,False,0
Mikel never change and never leave Arsenal :D,0,2,Male,England,da,False,False,False,False,False,True,False,0
I ❤ gooning,0,2,Male,England,tl,False,False,False,False,False,True,False,0
ART,1,2,Male,England,tl,False,False,False,False,False,True,False,0
I love Saka goal,0,2,Male,England,hr,False,False,False,False,False,True,False,0
Let's go BLUES 💙💙,2,2,Male,England,fr,False,False,False,False,False,True,False,0
Palmer nkunku and Neto 🔥,1,2,Male,England,et,False,False,False,False,False,True,False,0
캬 !! 역시 독일 인종차별 클라스 보소 !!,1,2,Male,Germany,ko,False,True,False,False,False,False,True,1
Laisse tomber le massacre,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Sam kerr,0,2,Female,England,id,False,False,False,False,False,True,False,0
Everyone apologize to jackson,0,2,Male,England,sl,False,False,False,False,False,True,False,0
Chelsea tetap di hatiku 💙😘🥰,0,2,Male,England,id,False,False,False,False,False,True,False,0
Timber vs all PSG attackers ☠️💀,0,2,Female,England,sv,False,False,False,False,False,True,False,0
"Allez les gars, c'est rien c'était juste un faux pas. On croit en vous pour renouer avec la victoire la semaine prochaine face à Grenoble 💪💪🔵⚪",2,2,Male,France,fr,False,False,False,False,False,True,False,0
Will Havertz be available against VARdrid?,0,2,Female,England,no,False,False,False,False,False,True,False,0
💙💙💙,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
En avant le Paris fc ❤❤❤,0,2,Male,France,fr,False,False,False,False,False,True,False,0
INVINCIBLE 💪 💪 💪,1,2,Male,England,uk,False,False,False,False,False,True,False,0
"Кто такой вообще Мареска??? Чего он добился,чего выиграл?  Лестер и без него должен был выходить обратно в премьеру. Очередной Грэм Поттер?",0,1,Male,England,ru,False,False,False,False,False,True,False,0
super  kai,1,2,Male,England,lt,False,False,False,False,False,True,False,0
ทั้งทีม หญิง ชาย เลย,0,1,Female,England,th,False,False,False,False,False,True,False,0
Amapiano ww💯💯,1,2,Male,England,sw,False,False,False,False,False,True,False,0
Well done ladies.,0,2,Female,England,af,False,False,False,False,False,True,False,0
Noni ❤❤❤,0,2,Male,England,sw,False,False,False,False,False,True,False,0
"Deserved get number 10 shirt, after ESR",0,2,Male,England,da,False,False,False,False,False,True,False,0
GO ON YOU GUNNERS.🔥.,0,2,Male,England,cy,False,False,False,False,False,True,False,0
0 défaite sur les 4 matchs contre l’OL et le PSG c’est vrm fort ! Dommage d’avoir perdu des points contre les petits car on aurait pu finir la saison invaincu,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Fabianski ❤❤❤❤❤❤,0,2,Male,England,sl,False,False,False,False,False,True,False,0
Tosin smile kill me 😂😂😂,1,2,Male,England,fi,False,False,False,False,False,True,False,0
Pls Pin❤,0,2,Female,England,ca,False,False,False,False,False,True,False,0
Maduake out 😢,1,2,Male,England,et,False,False,False,False,False,True,False,0
💙💙💙,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
Bravo à vous j’espère voir un beau derby parisien 😮,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Important away win 🖤,0,2,Male,England,tl,False,False,False,False,False,True,False,0
Allez paris 🔵,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Much love,0,2,Female,England,sk,False,False,False,False,False,True,False,0
تحيا باريس ❤️❤️,0,1,Male,France,ar,False,False,False,False,False,True,False,0
切爾西青訓，在我心目中，是歐洲前5,0,2,Male,England,zh-cn,False,False,False,False,False,True,False,0
When will we get Mayra Ramirez podcast. 🥺,0,2,Female,England,pl,False,False,False,False,False,True,False,0
STRENGTH X PACE X POWER X INTELLIGENCE..BIG GABI BULLYING MAN ❤❤ TO SEE IT,2,2,Male,England,vi,False,False,False,False,False,True,False,0
Lucky save,0,2,Male,England,sk,False,False,False,False,False,True,False,0
Much love💙💙,0,2,Male,England,sk,False,False,False,False,False,True,False,0
Maldini looks exciting.,0,2,Male,England,et,False,False,False,False,False,True,False,0
Bravo !!! On l'a fait !!!!,1,2,Male,France,fr,False,False,False,False,False,True,False,0
Arteta OUT!,0,1,Male,England,sq,False,False,False,False,False,True,False,0
From kenyaaaaaa❤,0,2,Male,England,so,False,False,False,False,False,True,False,0
Delap and his bedroom voice😂,0,2,Male,England,nl,False,False,False,False,False,True,False,0
Go kitty!,0,1,Male,England,fi,False,False,False,False,False,True,False,0
We love you Chloe ❤,0,2,Female,England,cs,False,False,False,False,False,True,False,0
Bergstom!!!,0,2,Male,England,sv,False,False,False,False,False,True,False,0
Aller paris fc monter en ligue 1 pour le classico parisien en ligue 1,1,2,Male,France,fr,False,False,False,False,False,True,False,0
blah blah blah,0,2,Male,England,id,False,False,False,False,False,True,False,0
Even G Jesus looked worried at kiwor 4:19,0,2,Male,England,af,False,False,False,False,False,True,False,0
Welcome Mike maignan 😁,0,2,Male,England,nl,False,False,False,False,False,True,False,0
Blues 💙,0,2,Male,England,fr,False,False,False,False,False,True,False,0
ボルチモア（Sandy Baltimore）って攻守そろったいい選手だよな。,0,2,Female,England,ja,False,False,False,False,False,True,False,0
Rice❤️,0,2,Male,England,ro,False,False,False,False,False,True,False,0
Why is he getting better,0,2,Male,England,af,False,False,False,False,False,True,False,0
We love you Big Gabi 🤍❤️🇧🇷,1,2,Male,England,tr,False,False,False,False,False,True,False,0
Allez PaparisFc... faites nous baver 🍺🤤🔪,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Kid or KYD  ????,0,1,Male,England,da,False,False,False,False,False,True,False,0
Allez les gars faites nous rêver ❤️❤️,1,2,Male,France,fr,False,False,False,False,False,True,False,0
💙💙💙,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
What type of press conference is this? Its like a rehearsed show,0,2,Male,England,en,False,False,False,False,False,True,False,0
We go win tomorrow,0,2,Male,England,pl,False,False,False,False,False,True,False,0
On va le faire et on va aller en 16ème ! Allez LE PARIS FC 🔵🔥,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Great ep!,0,2,Male,England,af,False,False,False,False,False,True,False,0
Kenya🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪🇰🇪,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
Nice kit but would be better to see gyokeres or zubimendi in jt,1,2,Male,England,nl,False,False,False,False,False,True,False,0
KDH MY GUY😎,0,2,Male,England,sw,False,False,False,False,False,True,False,0
Wow ❤,0,2,Male,England,pl,False,False,False,False,False,True,False,0
Olise and Vale 😎,0,2,Male,England,et,False,False,False,False,False,True,False,0
Welcome to the Family 💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙,0,2,Female,England,unknown,False,False,False,False,False,False,False,0
ارسنال ❤❤❤❤سأبقى مشجعاً لك.,0,2,Male,England,ar,False,False,False,False,False,True,False,0
❤❤❤,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
Djordje Petroviccs jobb kaus,1,2,Male,England,sl,False,False,False,False,False,True,False,0
공홈에서 이런 도발을ㅋㅋㅋㅋㅋㅋ,0,2,Male,England,ko,False,False,False,False,False,True,False,0
No.9 to No.8,1,2,Male,England,pt,False,False,False,False,False,True,False,0
Arsenal ❤,0,2,Male,England,ca,False,False,False,False,False,True,False,0
Not Nkunku asking for it 😂😂😂,1,2,Male,England,no,False,False,False,False,False,True,False,0
💙💙💙,0,2,Female,England,unknown,False,False,False,False,False,True,False,0
"Massive reap for Torres for passing, unlike Noni",0,2,Male,England,no,False,False,False,False,False,True,False,0
6 days ago looks like summer time to me,0,1,Male,England,et,False,False,False,False,False,True,False,0
Hi,0,2,Male,England,nl,False,False,False,False,False,True,False,0
Our most important player,0,2,Female,England,fr,False,False,False,False,False,True,False,0
Come on arsenal let's go,0,2,Male,England,fr,False,False,False,False,False,True,False,0
LETSGOOOOO❤❤,1,2,Male,England,fr,False,False,False,False,False,True,False,0
We've got super mik merino,0,2,Male,England,af,False,False,False,False,False,True,False,0
Trossard skill 😮,0,2,Male,England,sv,False,False,False,False,False,True,False,0
Trevor Chalobah ❤,0,2,Male,England,sl,False,False,False,False,False,True,False,0
Gonner for ever,0,2,Male,England,no,False,False,False,False,False,True,False,0
i miss mesut ozil,0,2,Male,England,et,False,False,False,False,False,True,False,0
"Chelsea’s GOAT this season, only bangers every game from him, our Kante regen fs",0,2,Male,England,en,False,False,False,False,False,True,False,0
slipppyyyyy ggggggggg,0,2,Male,England,tl,False,False,False,False,False,True,False,0
Chelsea nem série B do Brasileiro ganha !,0,1,Male,England,pt,False,False,False,False,False,True,False,0
Allez l’OL,0,2,Male,France,hu,False,False,False,False,False,True,False,0
Arsenal!!!!!!!!!!!!,0,2,Male,England,ca,False,False,False,False,False,True,False,0
Good job Bukayo! 🎉🎉,1,2,Male,England,so,False,False,False,False,False,True,False,0
2:39 cucu 😭,0,2,Male,England,ro,False,False,False,False,False,True,False,0
Конору уважение. ФК Челси позор,0,2,Male,England,ru,False,False,False,False,False,True,False,0
Congratulations ladies 💙💙💙,0,2,Female,England,fr,False,False,False,False,False,True,False,0
"Bonjour merci de poster l'interview d'après match. 

Je suis abonné (pour quelques mois encore) à Charlety, j'ai beaucoup apprécié les idées du coach en 1 ère partie de saison merci à lui, aux joueurs et aux membres du staff. 

Match difficile avec la pluie, malheureusement on a joué le jeu de QRM avec du jeu aérien à gogo. Ils avaient des joueurs plus physique et plus de vices. L'arbitrage pas ouf pour les deux équipes plutôt défavorable au PFC (1 pénalty non sifflé des tirages de maillots non sanctionné de jaunes...) 
Gaudin était bien rentré dans la rencontre mais il a fait pas mal d'erreurs en deuxième mi-temps, j'espère qu'il sera plus régulier en 2 ème partie de saison. 
Les gardiens n'ont pas été au top sur les deux buts (la pluie... La concentration), Hamel qui prouve que sa bonne préparation n'était pas passagère, Kebbal inspire la crainte des joueurs de ligue 2. Le PFC est dominant dans ses matchs dans ses intentions souffrent d'un manque de profondeur lié à des blessures. 
Heureux de finir en première partie de tableau 🎉 on va chercher les barrages pour la fin de saison au minimum !!! 

Bravo à tous les supporters aussi qui répondent présent pour ""remplir Charlety""

Bonnes fêtes à vous",0,2,Female,France,fr,False,False,False,False,False,True,False,0
Chelsea Legend.,0,2,Female,England,nl,False,False,False,False,False,True,False,0
ENZO vs spurs ❤❤❤,0,2,Male,England,lv,False,False,False,False,False,True,False,0
My GOAT 🇩🇪🐐⚽️,0,2,Male,England,cy,False,False,False,False,False,True,False,0
"Arteta Out 
Kroenke Out 

Saka injured: ""Stay humble eh""",0,2,Male,England,no,False,False,False,False,False,True,False,0
Horrible defense,0,2,Male,England,no,False,False,False,False,False,True,False,0
I miss Tomi Saliba Ode ❤😢,0,2,Male,England,et,False,False,False,False,False,True,False,0
Was this uploaded for the flamengo fans? Utterly weird,0,2,Male,England,en,False,False,False,False,False,True,False,0
FROM Sénégal 🇸🇳🇸🇳🇸🇳🇸🇳🔥❤,0,2,Male,England,hu,False,False,False,False,False,True,False,0
"Ipswich are cooked if Noni, cole and Nico all start on Sunday",0,2,Male,England,en,False,False,False,False,False,True,False,0
みんな好き,0,2,Male,England,ja,False,False,False,False,False,True,False,0
Bravo my Chelsea,0,2,Male,England,sk,False,False,False,False,False,True,False,0
tyrique as a striker,0,2,Male,England,fr,False,False,False,False,False,True,False,0
Calm cool composed😂,0,2,Male,England,pt,False,False,False,False,False,True,False,0
Palmarès de Cayenne on a une marque de piment ( piment de Cayenne),2,2,Male,France,fr,False,False,False,False,False,True,False,0
hoomba hoomba,0,2,Male,England,so,False,False,False,False,False,True,False,0
love Bett's energy icl,0,2,Male,England,no,False,False,False,False,False,True,False,0
"Il faut vraiment améliorer la qualité du son des journalistes, on entend très mal, ça n’est pas faute de l’avoir dis plusieurs fois.",0,2,Female,France,fr,False,False,False,False,False,True,False,0
miss our striker alonso,0,2,Male,England,no,False,False,False,False,False,True,False,0
HERE WE GO 💙🔵,0,2,Male,England,so,False,False,False,False,False,True,False,0
Yes niamh!,0,2,Female,England,cy,False,False,False,False,False,True,False,0
❤❤❤❤,0,2,Female,England,unknown,False,False,False,False,False,True,False,0
Benny Blanco❤😂,0,2,Male,England,cy,False,False,False,False,False,True,False,0
Nwaneri is 🔥,0,2,Male,England,nl,False,False,False,False,False,True,False,0
❤️,0,2,Male,England,unknown,False,False,False,False,False,True,False,0
We need Gykorees and Eze,0,2,Male,England,af,False,False,False,False,False,True,False,0
Jackson. You are the best.,0,2,Male,England,en,False,False,False,False,False,True,False,0
Челсе 🇺🇿🇺🇿🇺🇿,0,2,Male,England,bg,False,False,False,False,False,True,False,0
DROP THE 7-1 HIGHLIGHTS,0,2,Male,England,vi,False,False,False,False,False,True,False,0
Tyrique George deserves more minutes than Madueke.,0,2,Male,England,fr,False,False,False,False,False,True,False,0
MIKEL ❤❤❤❤💪💪💪💪💪,0,2,Male,England,ca,False,False,False,False,False,True,False,0
i believe in nwaneri sterling and trossard....we good yall,0,2,Male,England,af,False,False,False,False,False,True,False,0
OHHHH ENZO MARESCAAAA,0,2,Male,England,pt,False,False,False,False,False,True,False,0
Arsenal legend,0,2,Male,England,nl,False,False,False,False,False,True,False,0
Allez les gars 🔵,0,1,Male,France,fr,False,False,False,False,False,True,False,0
Give him time!!!!🔥 ARSENAL ❤️❤️,0,2,Male,England,sq,False,False,False,False,False,True,False,0
I miss drogba ❤😅,0,0,Male,England,lv,False,False,False,False,False,True,False,0
I’m a big fan!!!😊,0,2,Male,England,cy,False,False,False,False,False,True,False,0
Gary looking good 👍🏽,0,2,Male,England,tl,False,False,False,False,False,True,False,0
Love how Ødeggard jumped over everyone,0,2,Male,England,no,False,False,False,False,False,True,False,0
Two Legends 💙💙💙💙 👏🏻👏🏻👏🏻👏🏻,0,2,Male,England,nl,False,False,False,False,False,True,False,0
Leah ❤❤❤,0,2,Male,England,id,False,False,False,False,False,True,False,0
"❤ARSENAL❤ - вітання🎉 Дівчатам🩷💪👏👏💐... Барса реально дуууже сильний суперник, тому насолода перемоги ще краща😂😂😊👍...   🐈‍⬛🏴‍☠️.",0,2,Male,England,uk,False,False,False,False,False,True,False,0
plz win,0,2,Male,England,pl,False,False,False,False,False,True,False,0
MAIKA!!!,0,2,Male,England,so,False,False,False,False,False,True,False,0
"どの他の動画を見てる時よりも、愛するチームの息子達が楽しそうにしている動画を見てる時間が最高に幸せです。

up the chels💙",1,2,Male,England,ja,False,False,False,False,False,True,False,0
1:38 Hamano Maika💙,0,2,Female,England,sw,False,False,False,False,False,True,False,0
Gorgeous lady. Damn!!!,0,2,Female,England,sv,True,False,False,True,False,False,True,2
🔴🔵🦁✨,1,2,Male,France,unknown,False,False,False,False,False,True,False,0
pourquoi il n'y a rien de 2001 à 2004 et de 2022 à 2024 ?,1,2,Male,France,fr,False,False,False,False,False,True,False,0
"Merci pour tout Malick, bonne chance pour la suite de ta carrière",0,2,Male,France,fr,False,False,False,False,False,True,False,0
Allé asse allé les verre,2,1,Male,France,fr,False,False,False,False,False,True,False,0
Merci Alex pour tout se que tu as fait à Lyon,1,2,Male,France,fr,False,False,False,False,False,True,False,0
"On sera derrière vous, allez le Paris FC 💪💪",0,1,Male,France,fr,False,False,False,False,False,True,False,0
Légende 🙏,1,1,Male,France,fr,False,False,False,False,False,True,False,0
"Arrêter avec vos matchs de légende de mer… 
On vas encore perdre ce soir avec vos conneries",0,2,Male,France,fr,False,False,True,False,False,False,True,1
Наш пацан❤❤❤,1,0,Male,England,mk,False,False,False,False,False,True,False,0
Aqui é Corinthians po,1,2,Male,Latin America,pt,False,False,False,False,False,True,False,0
Please sign viktor gyökeres and ederson from atalanta,1,1,Male,England,da,False,False,False,False,False,True,False,0
Legal augusto vai manda o Bidu embora e vai deixar o craque Hugo  parabéns,1,1,Male,Latin America,pt,False,False,False,False,False,True,False,0
"Prantos fregues, aposentado Ney freguês. Tudo em casa",1,2,Male,Latin America,pt,False,False,False,False,False,True,False,0
Κουλιερακης οε οε οε!!!!!!!!!,2,1,Male,Germany,el,False,False,False,False,False,True,False,0
