Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel,Gender of Sport,Club,Video Popularity,Language,Channel Structure
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@georgeoyinke9552,"Thank you, Aoife Mannion. All the BEST!!♥🎉",3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@jayabrahamkamara1199,Thank you Aoife....best of luck out there baller 🎉,4,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@jonathanball8237,"She’ll be missed by the fans and the team! Such a great positive outlook for the changing room and squad. And someone who was so connected with the fans. Bigger names might come and go, but some players will always be in the fans hearts and one thing is absolutely true;
Aoife Mannion IS and will ALWAYS be a red! 
❤⚽️⚫️",14,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@MizzleNBA,"Thank you aifo for your wonderful service. You’ll be missed. Once a Red, always a Red❤🎉",3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@angelaguillermo10,"It was the right time to move on, but it’s clear how much all the players loved her. Thank you and good luck, Aoife!",2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@MrBlessedMusic-ir5sg,Best of luck 😢,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Aoife Mannion Says Goodbye To Manchester United 🥹,144,2009,24,@AlanKenny-y8e,🥵Thanks for all you've done Aoife and best of luck whatever you do next. (From a fellow Brummie),3,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@alansmithee8831,COYGIR bucket hats,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@PDog2402,Noooo we are losing a important the best player,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@WOSOfan-ET7-AR23,Missing you already ❤❤❤😢😢😢,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@paulburnett3490,"Well played, young lady, and very best wishes for your future.",0,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@iandeeley9033,Good Luck! GGMU!❤❤❤,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@DumeGaming,🙏,1,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
An EMOTIONAL Farewell From Aoife Mannion 🥹🫶,133,1064,7,@samgirls,we'll all miss you!! ❤️❤️❤️,1,Manchester United Women,Female,Manchester United,Low,cy,Seperate
Can You Guess The Red?! 👀🤣,173,1587,2,@PDog2402,Love you girls❤,1,Manchester United Women,Female,Manchester United,Low,tr,Seperate
Can You Guess The Red?! 👀🤣,173,1587,2,@RealKingValentine,"#GGMU ❤
Love you lot",1,Manchester United Women,Female,Manchester United,Low,fr,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@Acksham786,43 to 44 45,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@wartono.-6760,Where is Hinata?,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@chansakkhun2592,❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@M_Zulpandi,Rachel doesn't know how to play the game 😂,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@WOSOfan-ET7-AR23,Graces face when she got it was soooo cute❤❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
How Many ⚽️ Balls Are In The Vase?! 🤣,260,3248,6,@PDog2402,"Rachel ""cant you do that"" ahhhh she cracks me up",4,Manchester United Women,Female,Manchester United,Low,en,Seperate
It’s Time For Your Close-Up 👀😭,290,2709,4,@chansakkhun2592,❤❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
It’s Time For Your Close-Up 👀😭,290,2709,4,@PDog2402,Gorgeous,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
It’s Time For Your Close-Up 👀😭,290,2709,4,@Creator-54x,❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
It’s Time For Your Close-Up 👀😭,290,2709,4,@WOSOfan-ET7-AR23,Quite easy all these 😂😂😂❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@AungGyi-gm9yx,EVER UNITED❤❤❤,0,Manchester United Women,Female,Manchester United,Low,de,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@omonkhafebannabaa8776,United ❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@DANUYALE,i love you man United,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@SupremeOpute,Awesome❤,1,Manchester United Women,Female,Manchester United,Low,af,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@WOSOfan-ET7-AR23,Lovely kit lovely girls❤❤❤,0,Manchester United Women,Female,Manchester United,Low,hu,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@chaylek4771,❤❤❤❤❤ United,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@PDog2402,And hopefully buying,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
POV: You’re At United’s Home Kit Shoot 🤩🎬,452,4321,8,@PDog2402,Yess first person rachel is sooo funny seen her before and was sooo kind to me hope u had a fun time shooting for ur new kits and mil is just so pretty,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@RichardKing-i3d,"toone army, come on the reds; show boys how it's done",1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@SIXBUZZ,Keep It on the women's channel please,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@PDog2402,Its such a lovely kit girls,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@SupremeOpute,Kit looks like victory❤,1,Manchester United Women,Female,Manchester United,Low,et,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@WOSOfan-ET7-AR23,Looks stunning on them❤❤❤,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@celebrity_faleb,"Awesome kit, good luck with next season",1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@Ire12368,Ella my baby 😊😊,1,Manchester United Women,Female,Manchester United,Low,tl,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@Jack-sc3dn,A lot nicer with black shorts and socks,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Behind The Scenes In Our New Home Kit 👀🎬,614,11255,9,@Sophie-hg1fv,Love the new kit,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@Nihilanth1982,relegation kit for the mens lol,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@Thelma_7,❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@TemitopeMatthew-fd3gl,👏👏👏,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@Antonio_6700,Grace look good bright smile,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@DesmondAdjobu,Wow really really nice 🎉❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@jasonfrancis698,"The Women's Team and the Men's Youth Team will Do their New Home Kit Justice but I Doubt the Men's First Team Squad will do Well.

Unless they Sack Amorim Now then Maybe They might Finish in the Top Six and Win the FA Cup or League Cup.",2,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@WOSOfan-ET7-AR23,Lovely kit❤❤,1,Manchester United Women,Female,Manchester United,Low,hu,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@CatGPT_,mid kit perfect for finishing mid table 👏👏,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@iandeeley9033,Great to see the girls strut their stuff in the new kit! GGMU!❤❤❤,5,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@sinabubaragaaphrodis8385,Something we have here,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@L7V7HEARTL7V7HEART,beutiful girl man united ❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@RwothomioBashir-tn3qz,"That goal keeper jersey should be for playing in champion league, really nice 😊",8,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@Ire12368,Ella my baby 😊😊😊,1,Manchester United Women,Female,Manchester United,Low,cy,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@PaddystinianCraig,I love these players ❤,5,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@Ian-pi3nd,janseen should've been sold already...i hope we sign some lyon or USSMT OR Barca forwards..these team needs more energy and technicality if its going to challenge in the coming years ...heavy investment is needed.,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@sentotbrekel,yo waddaapp,0,Manchester United Women,Female,Manchester United,Low,so,Seperate
New 2025/26 Home Kit! 🔴 | Behind The Scenes,379,6840,27,@asquarebeekeofficial3189,❤❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
Our New Home Shirt REVEALED 🔥👀,76,830,3,@WOSOfan-ET7-AR23,Looks amazing on them❤❤❤,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Our New Home Shirt REVEALED 🔥👀,76,830,3,@Kazelrov,"I was worried based on the leaks. It looked a bit unnatural with the black piping and that front panel, but seeing it on the players it looks a lot nicer.",3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Our New Home Shirt REVEALED 🔥👀,76,830,3,@SammieFreakin,First to comment love ya'll can i get a pin please,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
🆕 adidas Home Shirt REVEALED! 🤩,252,2993,4,@DANUYALE,YES MAN UNITED,0,Manchester United Women,Female,Manchester United,Low,so,Seperate
🆕 adidas Home Shirt REVEALED! 🤩,252,2993,4,@DANUYALE,Yes Man United,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
🆕 adidas Home Shirt REVEALED! 🤩,252,2993,4,@lisaburton9226,2nd I love you so much your all my inspiration UTU,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
🆕 adidas Home Shirt REVEALED! 🤩,252,2993,4,@Ire12368,Una get mind give cunha or nah suya my baby jersey number 😒😒,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""Do What Your Heart Desires"" ❤️ | Football Skills Workshop",62,588,4,@TemitopeMatthew-fd3gl,👏👏👏,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
"""Do What Your Heart Desires"" ❤️ | Football Skills Workshop",62,588,4,@StefanB-vv5eu,Next generation of United girls 🔴⚪⚫,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""Do What Your Heart Desires"" ❤️ | Football Skills Workshop",62,588,4,@iandeeley9033,Great bunch of girls! GGMU!,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""Do What Your Heart Desires"" ❤️ | Football Skills Workshop",62,588,4,@WOSOfan-ET7-AR23,Lovely girls and team❤❤❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
ROLE MODELS | TEAMVIEWER WOMEN IN SPORT ↔️,40,379,3,@WOSOfan-ET7-AR23,What amazing role models these girls are❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
ROLE MODELS | TEAMVIEWER WOMEN IN SPORT ↔️,40,379,3,@iandeeley9033,The girls have DEFINITELY been better role models than the men this season! GGMU!❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Celin Bizet Was On Fire In 2024/25 🔥,342,5099,4,@anaconda7184,made by Toone!,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Celin Bizet Was On Fire In 2024/25 🔥,342,5099,4,@stevenhames5043,Played brilliantly this year,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Celin Bizet Was On Fire In 2024/25 🔥,342,5099,4,@lewisconnor2518,"One of my favourite goals of the season this, an unreal goal from Celin ❤",3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Celin Bizet Was On Fire In 2024/25 🔥,342,5099,4,@WOSOfan-ET7-AR23,Been an amazing player hope she continues like this❤❤❤❤❤,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@เจตจีที,I love  gapby😊,0,Manchester United Women,Female,Manchester United,Low,no,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@lewisconnor2518,"As stunning a goal that is from Celin, the goalkeeper has to be saving that let’s be honest.",1,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@Forgnite-x4t,Ngl that was an easy save and was super slow as a shot,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@davidweston4980,Not sure what the keeper was flapping at but should have stopped it wasn’t hit that hard and straight at her…..,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@ลุงกบนนทบุเรี่ยน,❤❤❤❤❤❤❤❤❤❤ For ever.,1,Manchester United Women,Female,Manchester United,Low,da,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@WOSOfan-ET7-AR23,What a goal that was❤❤❤❤,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@AngelSmith-b9n,love it bizet,1,Manchester United Women,Female,Manchester United,Low,sl,Seperate
A Rocket From Celin Bizet 🚀,340,7327,8,@akhimiensamuel8832,Class,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
All Celin Bizet Goals & Assists 😮‍💨 | 2024/2025,101,1775,4,@NkosephayoDlamini-o2f,One of the best signings of the season❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
All Celin Bizet Goals & Assists 😮‍💨 | 2024/2025,101,1775,4,@TemitopeMatthew-fd3gl,👏👏👏,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
All Celin Bizet Goals & Assists 😮‍💨 | 2024/2025,101,1775,4,@RespecTheLevYT,She should start ahead of Graham at tge Euros bro I swear,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Every Goal Of The Month From 2024/25! ⚽️,53,987,5,@epurusotama0812,Amazing team. Not like the other one. But i still love both team.,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Every Goal Of The Month From 2024/25! ⚽️,53,987,5,@TemitopeMatthew-fd3gl,👏👏👏,1,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
Every Goal Of The Month From 2024/25! ⚽️,53,987,5,@Thelma_7,❤❤❤,1,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
Every Goal Of The Month From 2024/25! ⚽️,53,987,5,@iandeeley9033,I'm so proud of these girls this season! Really kept the club's morale up during bad times! GGMU!,5,Manchester United Women,Female,Manchester United,Low,en,Seperate
Every Goal Of The Month From 2024/25! ⚽️,53,987,5,@WOSOfan-ET7-AR23,"Amazing goals from amazing girls and an amazing team❤❤❤So proud of this team,❤❤❤",3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@StefanB-vv5eu,Cant wait for her goals next season 🔴⚪⚫ GGMU,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@Thelma_7,Norway fc!❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@Mulvers,A shining light in our season!,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@WOSOfan-ET7-AR23,What a player ❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@iandeeley9033,Great player! GGMU!❤❤❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Elisabeth Terland's 10 2024/25 WSL Goals! 🙌,70,1374,6,@Axelbar_28,teri 🔥🔥,0,Manchester United Women,Female,Manchester United,Low,id,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@TemitopeMatthew-fd3gl,👏👏👏,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@fongjy2838,So cute ❤❤❤ kayla and Lisa. Hope you guys perform well next season 🎉,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@MizzleNBA,Lisa got mel there. She lives glasses😂,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@iandeeley9033,Can't wait to see how the girls get on next season! GGMU!❤❤❤,4,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@Thelma_7,Kayla❤ Lisa❤,2,Manchester United Women,Female,Manchester United,Low,tl,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@AngelSmith-b9n,"oh my gosh that was funny 🤣 
the man united squad always get me laughing
comment if you agree and like me thanx",5,Manchester United Women,Female,Manchester United,Low,en,Seperate
"""I'm Drawing Upside Down Now!"" 😱 | Pictionary",111,1450,7,@WOSOfan-ET7-AR23,Oh goodness me that was hectic to say the least😂😂😂❤❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Your May Goal Of The Month Winner 👏🔥,379,10691,8,@BarryThomson-o1f,Manchester United football team ❤❤❤❤❤❤❤❤❤❤❤❤❤ girls❤❤❤🎉🎉🎉🎉😊😊😊😊,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
Your May Goal Of The Month Winner 👏🔥,379,10691,8,@Holy-football,Love ella ❤,4,Manchester United Women,Female,Manchester United,Low,it,Seperate
Your May Goal Of The Month Winner 👏🔥,379,10691,8,@lewisconnor2518,No way should this be goal of the month but all the “ Ella Toone fans “ and not Manchester United fans will vote for this.,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
Your May Goal Of The Month Winner 👏🔥,379,10691,8,@joshuasun-k2w,Lovely equalizer,5,Manchester United Women,Female,Manchester United,Low,en,Seperate
Your May Goal Of The Month Winner 👏🔥,379,10691,8,@WOSOfan-ET7-AR23,She deserves that ❤❤❤❤,7,Manchester United Women,Female,Manchester United,Low,en,Seperate
Scoring In The World Sevens Final 🤩🚀,325,4744,4,@olegpopow2024,Trotzdem verloren,0,Manchester United Women,Female,Manchester United,Low,de,Seperate
Scoring In The World Sevens Final 🤩🚀,325,4744,4,@blooblak01,"Wicked goal ❤
It's such a pity that United ran out of steam",1,Manchester United Women,Female,Manchester United,Low,en,Seperate
Scoring In The World Sevens Final 🤩🚀,325,4744,4,@chaylek4771,❤❤❤❤❤👏👏,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
Scoring In The World Sevens Final 🤩🚀,325,4744,4,@WOSOfan-ET7-AR23,Really good strike 🎉🎉❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
These Penalties Were Tense 😬,412,4989,5,@cd_cagataydokumaci,"i have an idea, we can close manu male team.",1,Manchester United Women,Female,Manchester United,Low,en,Seperate
These Penalties Were Tense 😬,412,4989,5,@HarmonyTavaziva,Mallard❤❤❤😂😂,1,Manchester United Women,Female,Manchester United,Low,tr,Seperate
These Penalties Were Tense 😬,412,4989,5,@HarmonyTavaziva,❤❤❤❤,0,Manchester United Women,Female,Manchester United,Low,unknown,Seperate
These Penalties Were Tense 😬,412,4989,5,@user-MeganRingrose,United United United !!!!!❤❤❤❤,2,Manchester United Women,Female,Manchester United,Low,en,Seperate
These Penalties Were Tense 😬,412,4989,5,@WOSOfan-ET7-AR23,Nerve racking these but amazing from us❤❤❤,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Clinical Finish From Maya 👌,279,4217,2,@WOSOfan-ET7-AR23,She so deserves that captain armband❤❤❤❤❤Go on maya ❤❤,3,Manchester United Women,Female,Manchester United,Low,en,Seperate
Clinical Finish From Maya 👌,279,4217,2,@Graceisnumber1,OUR N4,2,Manchester United Women,Female,Manchester United,Low,vi,Seperate
A Rocket From Celin Bizet! 🚀🤩,396,14549,3,@AinaMichael-nh1ne,❤❤,0,Manchester United Women,Female,Manchester United,Average,unknown,Seperate
A Rocket From Celin Bizet! 🚀🤩,396,14549,3,@kazuyaagari,Nice goal👍👍👍🥂,0,Manchester United Women,Female,Manchester United,Average,ro,Seperate
A Rocket From Celin Bizet! 🚀🤩,396,14549,3,@WOSOfan-ET7-AR23,Great goal ❤❤❤,0,Manchester United Women,Female,Manchester United,Average,en,Seperate
A Lovely Goal From Grace Clinton! 👏,311,6094,5,@PDog2402,"What a goal, gorgeous!",0,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Lovely Goal From Grace Clinton! 👏,311,6094,5,@EzekeBlacky,We need more of this please 🙏 ❤,0,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Lovely Goal From Grace Clinton! 👏,311,6094,5,@Daisy.loves.football,Love Grace!! Fav player!! Amazing goal!! ❤,1,Manchester United Women,Female,Manchester United,Low,en,Seperate
A Lovely Goal From Grace Clinton! 👏,311,6094,5,@kazuyaagari,Nice goal,1,Manchester United Women,Female,Manchester United,Low,hr,Seperate
A Lovely Goal From Grace Clinton! 👏,311,6094,5,@WOSOfan-ET7-AR23,Amazing player❤amazing goal❤❤❤,1,Manchester United Women,Female,Manchester United,Low,tl,Seperate
Millie & Dom Bring The Pre-Match VIBES 💃👏,376,18193,9,@PDog2402,Millie is such an icon,0,Manchester United Women,Female,Manchester United,Average,en,Seperate
