comment,sexism,racism,violence,appearance,ability,non-offensive,is_labeled
"Barcelona finally beating Lyon and with goals from Bonmati and Putellas, a perfect story without a doubt.
Bonmati is the best player in the world for the second year, and I have no doubt that she will obtain her second Ballon d'Or not only for what she did with Barcelona but also for what she did with Spain, winning the Nations League and now the Olympic Games.",0,0,0,0,0,1,True
This team is going to win champions league,0,0,0,0,0,1,True
Alexia come back soon,0,0,0,0,0,1,True
Perfect,0,0,0,0,0,1,True
Jawohl Bayern Meister hey hey hey 😊👍⚽️🏆,0,0,0,0,0,1,True
A great team 👏,0,0,0,0,0,1,True
We'll play,0,0,0,0,0,1,True
This was quality- what a watch 🤍,0,0,0,0,0,1,True
"She's kind of like David James - mostly brilliant, but prone to howlers.",0,0,0,0,1,0,True
amazing performance well played,0,0,0,0,0,1,True
The way that third goal was scored was unbecoming of a CL final. 😮,0,0,0,0,0,1,True
Thanks barca,0,0,0,0,0,1,True
Are they showing the actual game?,0,0,0,0,0,1,True
"In 1st leg, Bayrm's victory was very lucky",0,0,0,0,0,1,True
Lauren and Reece are TRUE jems of this club... even mason mount... proper chels,0,0,0,0,0,1,True
Lovely match,0,0,0,0,0,1,True
"Home Win, Clean Sheet and  Turnaround Complete ✔️ Semis here we come 🔴",0,0,0,0,0,1,True
Amazing team,0,0,0,0,0,1,True
Both team's are well played,0,0,0,0,0,1,True
Walk away for 5 minutes and it’s 4-1,0,0,0,0,0,1,True
What's the point of a team like Benfica being in this competition if their players played like they were not interested in being on the field from the very start.   The Benfica players attitude was disgraceful.,0,0,0,0,1,0,True
"I'm waiting for the day when both women and men, will play football in the same team and end millennia of discrimination  against women.",0,0,0,0,0,1,True
"Katie catching strays here lol! A lovely video, love my captain.",0,0,0,0,0,1,True
The gladiator of the box and its surroundings 💪🏽💙❤,0,0,0,0,0,1,True
FC Barcelona all time and all years my favourite team,0,0,0,0,0,1,True
"2m30s just gone like that, the documentary is so interesting i felt like the time wasted was too much 😎😎😎",0,0,0,0,0,1,True
No fans 😢,0,0,0,0,0,1,True
This team plays brand football. One of the best football sides in history for sure.,0,0,0,0,0,1,True
"The talent on Barcelona's team is mind-blowing, just incredible. It's hard to even rank  the players because they're all great.  Take Aitana, Paruello, Mapi Leon, Mariona, Oshoala, Marta Torrejón and Irene Paredes and put them on another team and you instantly have a top two team in the world and Barcelona still keeps its number one status with Alexia, Pina, Graham, Bronze, Fridolina Rolfö,  Paños, Ingrid Syrstad Engen, Esmee Brugts and Keira Walsh",0,0,0,0,0,1,True
Aitana is goated,0,0,0,0,0,1,True
What a great game👏👏👏👏👏,0,0,0,0,0,1,True
That wasn't a penalty. VAR just wants Chelsea to win.,0,0,0,0,0,1,True
"A GAME FOR THE AGES, WOMEN FOOTBALL ON THE RISE",0,0,0,0,0,1,True
Mind blowing nice work 💯,0,0,0,0,0,1,True
So great,0,0,0,0,0,1,True
3 Dutch graces have a home-final......which means advantage Wolfsburg.....,0,0,0,0,0,1,True
Muchos bloopers aun ..,0,0,0,0,1,0,True
"Danke fc Bayern 
Ole ole fc Bayern ole
Mia san mia",0,0,0,0,0,1,True
Mead 💎🔥 What a match of Arsenal girls👏🏻💪🏻,0,0,0,0,0,1,True
Come on the Chelsea Ladies. Make our club and fans proud. Let's get the big one. The Champions League trophy. COYB.,0,0,0,0,0,1,True
It's part of the game so don't loose hope,0,0,0,0,0,1,True
"Erikson and Kaloubaly have similar playing styles in terms of errors, miss kicks and wrong decision wise 😂 Todd should buy Maria Leon from Barca 😊 with those kind of errors, we're lucky to win . Sam Kerr should stop wasting 1v1 chances ; composer is required to burry those chances",0,0,0,0,1,0,True
Roma defended well and the goalkeeper was brilliant.,0,0,0,0,0,1,True
"ALEXIA PUTELLAS... ""QUEEN"" In...""HISTORY Of FOOTBALL"" .
LEAH WILLIAMSON ""PRINCESS"" In...""HISTORY Of FOOTBALL"" .
CAROLINE GRAHAM HANSEN ""ThE GAME CHANGER"" In...""HISTORY Of FOOTBALL"" .
""3 GREAT WOMEN'S FOOTBALLER"" .",0,0,0,0,0,1,True
If Barca had Bunny Shaw instead of Oshuala today she would have scored 7 by herself,0,0,0,0,0,1,True
Parabuello is a black monkey,0,1,0,0,0,0,True
she is so ugly and bad i want to kill her,0,0,1,1,1,0,True
i want to slap that booty so bad she cant play football but that black pus probably has so much juice ill make her scream and cream,1,1,1,1,1,0,True
Warum ist das Sporting Stadion in der CL immer so leer? Ist mir schon gegen Barca aufgefallen. Da ist ja Stimmung wie bei RB.,0,0,0,0,0,1,True
Rosa leben,0,0,0,0,0,1,True
Lewandowski ❤❤❤❤❤,0,0,0,0,0,1,True
VINICIUS JR,0,0,0,0,0,1,True
CR 7 ❤❤❤,0,0,0,0,0,1,True
Helal Oslun Türkiye,0,0,0,0,0,1,True
Bro sub indo more much,0,0,0,0,0,1,True
Soviele Schwachsinn in dem Video,0,0,0,0,0,1,True
وینی,0,0,0,0,0,1,True
AliBaba schießt immernoch (fast) alle links daneben ❤😂,0,0,0,0,0,1,True
Kommentator direkt aus der Malocher-Kneipe vors Mikro gekommen?,0,0,0,0,0,1,True
Mejor que Thiago,0,0,0,0,0,1,True
Einfach so geil ich Liebe euren Kontent,0,0,0,0,0,1,True
THIS IS SO EXEPERIENCE ILOVE IT,0,0,0,0,0,1,True
👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,0,0,0,0,0,1,True
Messi,0,0,0,0,0,1,True
ONLY RONALDO,0,0,0,0,0,1,True
"Spieleröffnung auf Malatini lenken, langen Ball recovern oder ihm abnehmen und treffen.
Einfach und gut. Glückwunsch an die Arminia!",0,0,0,0,0,1,True
Garnacho 🎉,0,0,0,0,0,1,True
Salah Allah Akbaru,0,0,0,0,0,1,True
no lewandowski...no winn:),0,0,0,0,0,1,True
Wo ist das Tor von Marcel Sabitzer das war auch ein Traumtor gegen die Niederländer 🇦🇹🇦🇹🇦🇹🇦🇹,0,0,0,0,0,1,True
"""Aggressive, pubertierende Eltern... "" Schiri, du bist der Hammer ! 👍😂😂😎",0,0,0,0,0,1,True
so ```` Baumann`` ein gutes Manschaft :),0,0,0,0,0,1,True
Bellingham hat seit dem er bei Real Madrid ist Null Respekt vor niemandem mehr🤷🏻🤮,0,0,0,0,0,1,True
Bitte bitte bitte,0,0,0,0,0,1,True
Beier,0,0,0,0,0,1,True
MESSİ❤❤❤❤❤❤❤❤❤❤❤❤ RONALDO😂😂😂😂😂,0,0,0,0,0,1,True
FORZA MILAN!!!,0,0,0,0,0,1,True
Ein Spiel Sperre. Ist das lächerlich.,0,0,0,0,0,1,True
bellingham after this😂,0,0,0,0,0,1,True
1	Bitte,0,0,0,0,0,1,True
Ist dich auch egal 3-0 oder 4-0 bvb hat verloren,0,0,0,0,0,1,True
Rüdiger in Real Madrid Trikot = asozial,0,0,1,0,0,0,True
Bester Kommentator,0,0,0,0,0,1,True
Glasklarer Elfmeter,0,0,0,0,0,1,True
Die Zuschaunden sehen die Deutsch*innen als Gewinnende.,0,0,0,0,0,1,True
"Kaum spielt Sane links kann er kicken. Hat er bei ManCity die unter Guardiola die GANZE ZEIT gemacht, aber kommt zu Bayern, HOENEß REIßT AUGEN AUF SIEHT DRIBBELSTARKE LINKSFUß, DENKT AN ARJEN UND 4-2-3-1, KLEINE TRÄNE KULLERT WANGE HINUNTER OHNE STEUERN ZU ZAHLEN. ZACK SPIELT DER DIE GANZE ZEIT RECHTS ARRRGHGHHGHG",0,0,1,0,0,0,True
"Can leert nach dem Spiel seine Hosentasche, Handy, Autoschlüssel und Gyökeres",0,0,0,0,0,1,True
3 nader,0,0,0,0,0,1,True
R9,0,0,0,0,0,1,True
04:31 Martinez 🙏,0,0,0,0,0,1,True
bitte gewinnt den pokal in berlin - jeder will das sehen und euch gegen real madrid spielen sehen,0,0,0,0,0,1,True
nennt man Pass,0,0,0,0,0,1,True
So macht Fußball laune😁,0,0,0,0,0,1,True
Messi beste Aura,0,0,0,0,0,1,True
Der Beste...bleib wie du bist Vini...Madridistas und Brasilianer lieben dich!,0,0,0,0,0,1,True
Trossard 🥶🥶🔥🔥💯💯💀,0,0,0,0,0,1,True
ONE OF MY FAV VIDS BY FUTCRUNCH AND IN THE HISTORY OF YOUTUBE VERY PERFECT VID FUT!,0,0,0,0,0,1,True
"Das aktuell ist das sympathischste PSG, was ich je erlebt hab 😂
Macht Bock, den Jungspunden beim zocken zuzuschauen",0,0,0,0,0,1,True
Bayern und Barcelona macht Flick stark und Deutschland war scheiße unter ihm komisch,0,0,0,0,0,1,True
"Kleine Info für alle, die hier wegen der zwei Berühruhrugen rummeckern: In der CL wird (vor allem wegen Abseits) Technik eingesetzt, die Ballberührungen registriert. Daher ging die Entscheidung auch so schnell, da die beiden Berührungen nicht aur Video erkannt werden mussten, sondern über die Technik angezeigt wurden.",0,0,0,0,0,1,True
Wo ist Derrick,0,0,0,0,0,1,True
"Bitte nächstes Mal 
Og Abonnenten, Challenge mini wm",0,0,0,0,0,1,True
Funny how he never blamed the Glazers even though they have shelled out nearly 90 million for Anthony and pay Casemiro 300grand a week!,0,0,0,0,0,1,True
Meesi❤❤❤,0,0,0,0,0,1,True
Als ob Müller das Spiel gewonnen hätte. Das Tor 😂😂😂 der Ball fällt zufällig vor seine Füße 😂😂😂,0,0,0,0,0,1,True
deutschland gewint fur das deutsche vatersland,0,0,0,0,0,1,True
"bin ich der einzige der die ganze zeit ""lainer"" bei Laimer gehört hat? Ansonsten Top commentary",0,0,0,0,0,1,True
Please add Hindi audio,0,0,0,0,0,1,True
Saka,0,0,0,0,0,1,True
"arminia bielefeld gegen as rom,tottenham oder valencia...allein das hört sich surreal an...😉😂",0,0,0,0,0,1,True
Trotz Rückstand so stark zurückgekommen! 💪🏻 Bitte immer so wie heute – überragende Leistung! 🖤💛,0,0,0,0,0,1,True
GORETZKAAAAAAAA,0,0,0,0,0,1,True
I dont want to dead,0,0,1,0,0,0,True
Der gewinnt keinen einzigen. Völlig überschätzt.,0,0,0,0,0,1,True
Ich hoff einfach Real fliegt iwann raus. Aber deezeit seh ich Real wieder im Finale leider,0,0,0,0,0,1,True
Ronaldo❤❤👿👿,0,0,0,0,0,1,True
"1.Rudiger
2.Rodrygo,Vinius jr",0,0,0,0,0,1,True
RONALDO IS THE GOAT ❤,0,0,0,0,0,1,True
Siuuuuu🎉🎉🎉❤❤❤,0,0,0,0,0,1,True
Es schmeck aber scheiße,0,0,1,0,0,0,True
Italiener haben wohl gefastet . Zu wenig Pasta gegessen. Die sind schuld daran. :-),0,1,0,0,0,0,True
Let's go  EMI martinez nice slidtackle on Rashford,0,0,0,0,0,1,True
Es stehd 1 0 für spanien😢,0,0,0,0,0,1,True
Die vermissen ihre türkischen Schiris Jetzt ist ausländischer schuld genau die die rumheulem das ausländische Schiris unsere spiele Pfeiffen sollen 😂😂,0,1,0,0,0,0,True
Leverkusen sowas von schlagbar,0,0,0,0,0,1,True
Böse,0,0,0,0,0,1,True
Saliba,0,0,0,0,0,1,True
Zum Glück war Messi nicht dabei,0,0,0,0,0,1,True
Wer ist dein Lieblings Player?,0,0,0,0,0,1,True
Fehler,0,0,0,0,0,1,True
"Ach nur weil Vizekusen mit seinen Pharmamillionen einen Titel geholt hat, sind die noch lange nicht mehr.",0,0,0,0,0,1,True
Gute Besserung Eierkopf#❤❤❤,0,0,1,0,0,0,True
Ich heiße chelsea ich schwore,0,0,0,0,0,1,True
Ich glaube das Bein ist gebrochen😅,0,0,0,0,0,1,True
Na Hollzi sieht so aus als hättest du ein bissel zugenommen,0,0,0,1,0,0,True
deutschland 🎉🎉🎉🎉🎉🎉❤🎉❤🎉❤🎉🎉🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉🎉❤🎉❤🎉❤🎉🎉❤🎉❤❤🎉🎉❤🎉❤🎉🎉❤❤🎉🎉❤🎉🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉🎉❤🎉🎉❤🎉❤🎉🎉🎉❤🎉❤🎉🎉❤🎉🎉🎉🎉❤🎉❤🎉🎉❤🎉🎉❤🎉🎉❤🎉❤🎉❤🎉🎉❤🎉❤🎉🎉❤🎉😂,0,0,0,0,0,1,True
ManU wieder bodenlos schlecht,0,0,0,0,0,1,True
Hab Dembele noch nie so viel laufen gesehen in einem Spiel Hilfe. Neves krankes Spiel heute und Mendes wieder überragend gegen Salah. Das erste Mal bisher das PSG wirklich als Team Auftritt.,0,0,0,0,0,1,True
Geiles Video mit schmerzhaftem Ende. Wünsch euch paar kühle Eiswürfel 🎉😮😅,0,0,0,0,0,1,True
danke für 82 Minuten Jule Brand unfassbar wie blind kann man als Trainer sein? nach 10min wäre der bei mir vom platz und am besten gleich Spind frei machen,0,0,0,0,0,1,True
Ich werde nicht müde das zu schreiben - Faes ist wirklich der Inbegriff von desaströs,0,0,0,0,0,1,True
Sacha Boey should've stayed on his man instead of going in for the tackle,0,0,0,0,0,1,True
5 bitteeeeeeeeeeeeee,0,0,0,0,0,1,True
Die kommentatoren dir nur real haten gehen mir so auf den sack,0,0,1,0,0,0,True
"Also komm, er zieht doch den Arm sogar noch weg, was soll er denn noch machen",0,0,0,0,0,1,True
What do you mean ‘100’ 😂😂😂,0,0,0,0,0,1,True
Kommentator stimme 10/10,0,0,0,0,0,1,True
Leverkusen hat xaka. Aber Bielefeld hat xakalaka,0,0,0,0,0,1,True
Also als gar kein Fan von beiden sage ich eine Sache den Elfmeter wenn der wohl zwei Füße getroffen hat hat der aber wirklich nicht dann muss eigentlich der Elfmeter wiederholt werden. So ist es eigentlich auch,0,0,0,0,0,1,True
Gute Besserung,0,0,0,0,0,1,True
Vini Jr.,0,0,0,0,0,1,True
"Gutes Spiel vom BVB allerdings sicher auch nicht leicht für Barca wenn man bereits einen 4 Tore Vorsprung im Rücken hat, dann noch Vollgas zu geben……..",0,0,0,0,0,1,True
Roberto carlos müsste in top 5 weil sein schuss war 202 kmh,0,0,0,0,0,1,True
Hoffentlich steigt Hoffenheim ab,0,0,0,0,0,1,True
"Richtig gemacht, die Eltern sollten mal beim Trainer Lehrgang dabei sein oder der Verein eine Schulung für Eltern abhalten: wie verhalte ich mich am Sportplatz meiner Kinder👍🏻",0,0,0,0,0,1,True
"This was super helpful, thanks!",0,0,0,0,0,1,True
Zieh ich dir 50 von,0,0,0,0,0,1,True
"Fantastic explanation, thank you!",0,0,0,0,0,1,True
"wenn sich ein Team auf der ganzen Welt nicht über Schiris beschweren darf, dann ist es Real",0,0,0,0,0,1,True
DIESE Freistöße von Ronaldo auf Platz 18 und 13 ist respektlos,0,0,0,0,0,1,True
Hate immer schon so einen großen Respekt wallah,0,0,0,0,0,1,True
"Ich kann mich  an Kleindienst errinnern da war er 19 bei Cottbus mit Sven Michel ein Sturm Duo , das ist Locker 10 Jahre her!",0,0,0,0,0,1,True
"1:05 Wollte nur mal erwähnen, dass Bayern Konrad Laimer geholt hat. Nicht Stefan Lainer. 😂",0,0,0,0,0,1,True
Visca Barça 🔵🔴💙💖,0,0,0,0,0,1,True
Schämt man sich nicht eigentlich das man angibt 7:0 gegen ein Team gewonnen zu haben das seit 2023 kein Sieg mehr hat?,0,0,0,0,0,1,True
Ali,0,0,0,0,0,1,True
1,0,0,0,0,0,1,True
Real wurde einfach beklaut 🙃,0,0,0,0,0,1,True
Hahaha,0,0,0,0,0,1,True
"Kurz mal Real Sociedad im vorbeigehen vergewaltigt 😂 heftig! 33:0 Torschüsse... Die können von Glück reden, dass es nur 4:0 ausgegangen ist.",0,0,1,0,0,0,True
Ronaldo ist so geil! In seinem Alter noch eine Maschine,0,0,0,0,0,1,True
Wie Kakke er ist,0,0,0,0,0,1,True
"Als neutraler Fan kann man sich nichts Besseres wünschen – so ein Spiel ist pure Fußballunterhaltung! Spannung, Action & Emotionen – einfach ein Traum für jeden echten Fußballfan!",0,0,0,0,0,1,True
Aber ich gönne es heuch🎉,0,0,0,0,0,1,True
ich liebe Ryerson. So ein Kämpfer einfach.,0,0,0,0,0,1,True
4:12 Die Bielefelderin (an sich?) ist ja ganz wuschig... :P,1,0,0,0,0,0,True
"Dieser nachspreche..dazu muss ich aber sagen,das wollte ich gerade ansprechen... reicht ein kommentator nicht der auf klo sitzt?",0,0,0,0,0,1,True
8 mall,0,0,0,0,0,1,True
Respekt muss man sich verdienen. Der Typ hat ihn nicht verdient!!,0,0,0,0,0,1,True
